User,Deposits (Ether),WithdrawLockedStake (Ether),WithdrawUnlockedStake (Ether),Total Withdrawn (Ether),Claimed Purse Rewards(Ether)
0xfD48e61A090B76688B7eB7c007AdbF25afB16Eb3,34191343,0,0,0,0
0x1A0c423D481D2f1aDd3a907A6854eAc242F7F33C,3299547,0,0,0,0
0xA09f7588128f9A42cD5B8B1811c4f93055a3436d,230102,230921,0,230921,0
0x336d363bC1269EDeE85eB115459Cff583e227750,16698139,0,0,0,0
0x9FAefd25F4C647729CD97661EA2Cc66a0720A4E2,14976532,0,0,0,0
0x282Ee007b0BeC852BD6643f51b71B933423248c9,77735864,0,0,0,0
0x7647832Cc91A6BDB66caA7c92996027d11536d3C,572787,0,0,0,0
0x0eCfC972F9Db84C62bFBEa8237fdE2D6c7926ba3,8058053,8058053,0,8058053,0
0x962699877786E67C883485C08C7810B3588FB73e,20462830,0,0,0,258537
0x7A06BBEd324673d537190c756458c71a141A696D,2000000,0,0,0,0
0x6B18De6c42C9F6D6D04Eef51912DA5A6220463D4,1603070,1734087,0,1734087,0
0x67A41c874217734f408c51f1DC66FaF11F1b0179,233733,242211,0,242211,0
0x0c6717953b543Df36F2Dd1323FCE0eb62B801687,5241730,5336135,0,5336135,0
0xA30C7B73f440A46c94Cea84976a70Dd397d70e2f,2137457,2205031,0,2205031,0
0x14a08Aa15F1FB738f0B1EbAF73E314e6B91D6FC0,140000,0,0,0,0
0x30D0E4e701D32af8f1b8cEc6D2fDCE1f19924bB0,14555,0,0,0,0
0x05032056E77EcE6D53c881d0C80a1C740D5FF0C4,155000,159047,0,159047,0
0x8b17EAA4De0598e028f4526FC8844b1cBabf996A,3652803,3681469,0,3681469,3826
0x2400b380d4D9b23ed327561769165385f65A8319,10000,0,0,0,0
0x2C741754cc791EFD2b997933fc3f83E4A367F379,1451412,1453511,0,1453511,0
0x1f45180E24d780bbd96650A85Eb342eDC9dBdfeF,344914,0,0,0,0
0x471BE6FE77bfAf809773A78E11F0FBC7E69E137f,1000,0,0,0,0
0x77Fb355E0cc89810C51e594C6f68a151005927E4,55000,0,0,0,0
0x6E295B6535d7016fE032B35Fe4Edaf32C6143Af8,51,0,0,0,0
0xf807B0F379b9AA220a9ac9978F60Ebca33d3273e,2063500,0,0,0,37163
0xa7577d919F855A58c91A9657D74506480626c1Ab,625647,628692,0,628692,0
0x48b87a0B46A535207f9643419666454E1eb89CCA,21096181,0,0,0,0
0xf97d133082F7db7eCb7ADD916D04f0A9DD6712a9,36950018,0,0,0,0
0xaB4131c81d588FAc981DBf1ef5f5275c10f64950,22968338,0,0,0,0
0x57a591A8221C05b6a721507de66B7fa73a01E10F,109002628,0,0,0,1949224
0x464d147f38ea2b3AEeCa5D0abeBbA98998f9Ac5C,169655786,0,0,0,3554987
0xBc523B0Bf24c6BbA895649bd11C9d1a94A265ABb,213864296,0,0,0,3832460
0x1D2CA2994B13152869fe9a24a3aa56BdBEa2f9db,13095,0,0,0,0
0x4E37e08c3a11c2a655519b09AA47E45A95Dcb5c4,428925,125452,0,125452,7177
0xCfb25Ed1F1b433f274Bc1E0640c8380421d0b9cf,1054840,1060354,0,1060354,0
0xda90D67f93922146572802C849039582397A5C77,288581,291100,0,291100,0
0xB5465d3cFcD045f3EE3c2d4818c4C1fCd7eF164d,59199,0,0,0,0
0x0c27255e28a67c1eAdA02c7D9513d0A5Da6971d3,500000,509058,0,509058,0
0x5bD18d68CA99C96C55C12705aceee0B39Ac1984F,51364,0,0,0,395
0xc5B7F24786e1178C395b5fda16137e88A1d260dE,1024168,1035676,0,1035676,0
0x3482A03b490ef359c51d3605B5636ad70e3043Bd,2121187,2132751,0,2132751,0
0x96B5e8555B98C67c231EbEB897C50223Fb7Fa11F,176561,0,0,0,0
0xb6F9E4c6DB0c4F3a7E8AfF01077E601A7626409b,11000,0,0,0,0
0x21F86FA226F748aDb2Cdf8beea5925C59f02dB3a,150365,0,0,0,0
0x0ef792C61375133f06BEcb81d0966b96bbc9cEa2,9332702,9348198,0,9348198,109216
0x0BAc8B591A19a0A6cD9Caa4e56FA17727de54d42,5000000,5028922,0,5028922,0
0x7A7b9B618acbbC294cD1BefA03640A92B57459ce,23673699,0,0,0,918636
0xBF8A21f743d098B0983Bf362A1bef841e8e1b5d5,78082,0,0,0,0
0xF8328c7aA1A9FbFB975959B9393d940E220d3971,1000,192,0,192,39
0x0Bea42f7dAEbF98188b6de1481cD98e1E38eDb80,384800,386959,0,386959,0
0x02DE0BaFcB067d8E194625D0c227B21c09fefC69,5199,0,0,0,0
0xfC2B89D22195045161e6419BDf3E5D2744Fbbae7,35641629,18617031,0,18617031,0
0x935A5D6423Ad26819249CB807EBC8F4b5797697A,3699082,3699136,0,3699136,45498
0x5f9AD501dc86A5C05818D1e6363C545Ae5f1C7d2,238835,238835,0,238835,0
0x125fBfc0880dd04EeD2ce373fdE077788d8dA1Ec,10395,10394,0,10394,0
